Word,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,MCDI_AoA
lips,0.02,0.05,0.09,0.14,0.18,0.24,0.36,0.4,0.46,0.52,0.64,0.63,0.77,0.71,0.84,25
mouth,0.18,0.27,0.43,0.56,0.54,0.57,0.7,0.75,0.79,0.81,0.87,0.88,0.95,0.89,0.96,19
nose,0.41,0.47,0.65,0.75,0.76,0.76,0.86,0.9,0.91,0.92,0.93,0.95,0.98,0.95,0.98,18
shoulder,0.01,0.01,0.03,0.11,0.11,0.16,0.25,0.28,0.33,0.4,0.49,0.49,0.62,0.55,0.7,28
toe,0.18,0.28,0.38,0.47,0.47,0.54,0.62,0.69,0.72,0.74,0.83,0.82,0.92,0.86,0.94,21
tongue,0.07,0.16,0.22,0.3,0.33,0.36,0.52,0.56,0.59,0.63,0.7,0.74,0.84,0.81,0.91,22
tooth,0.16,0.17,0.32,0.38,0.43,0.41,0.54,0.6,0.7,0.72,0.8,0.81,0.92,0.86,0.9,22
tummy,0.11,0.18,0.33,0.43,0.45,0.45,0.64,0.68,0.73,0.78,0.86,0.8,0.93,0.87,0.94,22
basket,0.03,0.05,0.14,0.18,0.19,0.25,0.32,0.4,0.47,0.5,0.58,0.59,0.76,0.67,0.82,26
blanket,0.18,0.22,0.39,0.47,0.51,0.58,0.65,0.77,0.79,0.83,0.87,0.87,0.95,0.92,0.96,20
bottle,0.42,0.36,0.49,0.53,0.58,0.61,0.7,0.71,0.73,0.79,0.86,0.83,0.92,0.86,0.93,19
bowl,0.11,0.12,0.26,0.33,0.35,0.42,0.5,0.58,0.64,0.71,0.75,0.76,0.89,0.8,0.95,23
box,0.12,0.17,0.28,0.37,0.39,0.44,0.55,0.61,0.66,0.71,0.75,0.83,0.88,0.85,0.92,22
broom,0.09,0.1,0.18,0.27,0.27,0.36,0.42,0.52,0.56,0.62,0.69,0.71,0.84,0.73,0.85,23
brush,0.17,0.15,0.32,0.36,0.4,0.44,0.58,0.63,0.69,0.7,0.73,0.79,0.9,0.82,0.92,22
bucket,0.03,0.05,0.09,0.17,0.14,0.24,0.28,0.36,0.42,0.48,0.51,0.54,0.72,0.63,0.78,26
camera,0.02,0.01,0.09,0.13,0.18,0.23,0.34,0.35,0.47,0.53,0.6,0.62,0.75,0.68,0.83,25
clock,0.14,0.15,0.29,0.34,0.38,0.38,0.49,0.56,0.61,0.65,0.68,0.72,0.85,0.79,0.89,23
comb,0.06,0.08,0.18,0.22,0.27,0.27,0.36,0.42,0.45,0.55,0.67,0.59,0.77,0.69,0.82,25
cup,0.24,0.3,0.46,0.57,0.6,0.64,0.77,0.79,0.81,0.88,0.92,0.91,0.95,0.91,0.97,19
dish,0.03,0.03,0.1,0.13,0.16,0.19,0.27,0.31,0.33,0.42,0.43,0.53,0.67,0.55,0.67,27
fork,0.07,0.15,0.27,0.35,0.41,0.47,0.64,0.68,0.71,0.75,0.81,0.89,0.92,0.81,0.93,22
garbage,0.03,0.07,0.1,0.17,0.22,0.23,0.28,0.4,0.41,0.47,0.54,0.59,0.66,0.61,0.71,26
glass,0.03,0.04,0.1,0.16,0.18,0.23,0.32,0.37,0.47,0.49,0.64,0.59,0.75,0.65,0.79,26
glasses,0.09,0.11,0.22,0.3,0.29,0.37,0.46,0.55,0.6,0.66,0.7,0.72,0.87,0.78,0.84,23
hammer,0.03,0.03,0.1,0.17,0.18,0.23,0.3,0.4,0.41,0.45,0.55,0.63,0.73,0.62,0.79,26
jar,0.03,0.11,0.13,0.19,0.22,0.31,0.38,0.42,0.31,0.34,0.36,0.47,0.44,0.58,0.57,29
keys,0.31,0.21,0.38,0.46,0.44,0.41,0.48,0.5,0.68,0.71,0.84,0.72,0.95,0.67,0.85,24
knife,0.02,0.01,0.1,0.14,0.16,0.24,0.38,0.42,0.47,0.55,0.61,0.66,0.8,0.69,0.83,25
lamp,0.01,0.02,0.05,0.1,0.14,0.15,0.24,0.26,0.31,0.35,0.4,0.47,0.58,0.5,0.66,28
light,0.25,0.2,0.42,0.44,0.53,0.55,0.7,0.7,0.77,0.79,0.85,0.85,0.94,0.86,0.95,20
medicine,0.04,0.05,0.14,0.22,0.22,0.29,0.38,0.46,0.55,0.62,0.71,0.68,0.84,0.75,0.87,24
money,0.06,0.08,0.16,0.27,0.31,0.37,0.44,0.55,0.59,0.65,0.77,0.75,0.9,0.79,0.89,23
mop,0.01,0.02,0.04,0.07,0.09,0.12,0.17,0.18,0.25,0.25,0.33,0.35,0.52,0.41,0.55,28
nail,0.01,0.01,0.03,0.1,0.05,0.12,0.18,0.26,0.27,0.34,0.39,0.46,0.58,0.51,0.63,28
napkin,0.02,0.04,0.1,0.15,0.22,0.28,0.39,0.44,0.54,0.57,0.65,0.64,0.82,0.72,0.87,24
paper,0.08,0.11,0.21,0.31,0.32,0.42,0.52,0.61,0.67,0.71,0.78,0.77,0.9,0.86,0.92,22
penny,0.02,0.03,0.08,0.1,0.13,0.18,0.28,0.31,0.36,0.45,0.53,0.55,0.67,0.61,0.7,26
picture,0.04,0.05,0.18,0.22,0.22,0.28,0.41,0.47,0.56,0.64,0.69,0.72,0.85,0.8,0.89,24
pillow,0.09,0.13,0.23,0.33,0.36,0.43,0.54,0.68,0.66,0.74,0.78,0.82,0.92,0.85,0.94,22
plant,0.02,0.05,0.1,0.13,0.18,0.22,0.28,0.31,0.37,0.45,0.53,0.51,0.67,0.6,0.75,26
plate,0.04,0.04,0.16,0.2,0.26,0.35,0.45,0.53,0.57,0.64,0.64,0.7,0.84,0.77,0.88,23
